timestamp,rx_bytes,tx_bytes
1747024114,0,0
1747024117,164565,60999
1747024121,339518,173120
1747024124,4640,5164
1747024127,27688,62212
1747024131,320060,119500
1747024134,167853,63329
1747024137,281678,9734
1747024140,320916,121644
1747024144,190434,117866
1747024147,144321,8548
1747024150,22388260,4927684
1747024153,7135167,3588733
1747024157,7237379,3487613
1747024160,7120178,3587494
1747024163,7371865,2632047
1747024166,7978917,5192
1747024170,9564652,60314
1747024173,11905856,174542
1747024176,8055258,8840
1747024179,7915519,64982
1747024183,8972190,175091
1747024186,7561600,6874
1747024189,7470692,59982
1747024192,7650614,175295
1747024196,7897377,8409
1747024199,12475579,63509
1747024202,12454992,176742
1747024205,7486877,5671
1747024209,7600622,62468
1747024212,9084793,177637
1747024215,7601420,7951
1747024218,11269608,61496
1747024222,8687940,174930
1747024225,7625950,2788164
1747024228,6964942,3543301
1747024231,7272234,3704253
1747024235,7267035,3563217
1747024238,7280311,2914221
1747024241,7551102,174542
1747024244,7955831,4789
1747024248,7816006,63945
1747024251,7481630,60678
1747024254,7584806,120380
1747024257,7709903,7177
1747024261,8046495,63222
1747024264,14350838,177888
1747024267,14887506,8984
1747024270,7556764,59478
1747024274,8176364,176300
1747024277,7608021,5172
1747024280,14864008,157418
1747024284,15495842,709266
1747024287,12822820,227198
1747024290,7615608,61728
1747024293,7739698,177594
1747024297,7610999,6571
1747024300,7357635,2870711
1747024303,7037613,3655253
1747024306,7257258,3495486
1747024310,7172691,3583066
1747024313,7174274,3304854
1747024316,13384392,4036
1747024319,15111491,66892
1747024323,15196491,179304
1747024326,15171830,9300
1747024329,8189430,62862
1747024332,344287,185146
1747024336,5952,4708
1747024339,298571,63405
1747024342,186338,149362
1747024345,161077,30981
1747024349,358412,257050
1747024352,749466,679840
1747024355,587058,624718
1747024358,308176,70114
1747024362,186422,118994
1747024365,27892,61396
1747024368,281462,13556
1747024371,182905,122137
1747024375,185450,119186
1747024378,143128,11162
1747024381,167293,66457
1747024384,72464,173454
1747024388,3662,4596
1747024391,29368,60552
1747024394,346766,179644
1747024397,144415,10360
1747024401,163972,61542
1747024404,207259,177153
1747024407,142846,5300
1747024410,164524,62096
1747024414,202465,174781
1747024417,278962,7993
1747024420,301525,74929
1747024423,341941,178873
1747024427,286668,8761
1747024430,161027,62017
1747024433,479264,179234
1747024437,144342,7569
1747024440,6852398,61092
1747024443,7864250,176456
1747024446,7623060,7782
1747024449,7464216,62232
1747024453,7526462,174000
1747024456,7540198,4114
1747024459,7455870,60676
1747024462,7643622,120628
1747024466,7609358,61004
1747024469,7733969,65030
1747024472,7594920,119242
1747024475,7606053,62608
1747024479,7509058,59312
1747024482,7629996,119196
1747024485,12786017,62785
1747024488,7709134,7643
1747024492,7636826,117724
1747024495,7665419,117877
1747024498,7669628,4070
1747024501,7772742,65653
1747024505,7712386,174066
1747024508,7790541,6373
1747024511,7466851,60056
1747024514,7460506,174770
1747024518,7723960,341190
1747024521,8097488,632410
1747024524,8013477,384219
1747024527,14284247,6387
1747024531,12652496,61200
1747024534,15334961,177141
1747024537,9569152,3898
1747024540,10130942,62558
1747024544,15081309,175481
1747024547,15262196,8156
1747024550,15085823,62119
1747024553,15096730,174650
1747024557,9624960,6188
1747024560,8059254,65335
1747024563,7550743,173767
1747024567,7765044,7700
1747024570,7650317,63221
1747024573,7832188,173602
1747024576,14861945,4622
1747024580,10334550,8834
1747024583,7722075,119331
1747024586,10888231,119793
1747024589,7926692,9504
1747024593,7705334,119688
1747024596,9042849,118533
1747024599,15020489,6867
1747024602,8052712,120706
1747024606,7670040,118926
1747024609,8019359,6962
1747024612,8154700,120238
1747024616,7671962,120499
1747024619,2499272,6320
1747024622,48264,117174
1747024625,185899,118723
1747024629,280001,6887
1747024632,299234,63684
1747024635,205566,176398
1747024638,280139,6689
1747024642,674517,439551
1747024645,757122,726386
1747024648,241541,105272
1747024651,297992,62410
1747024655,203355,174058
1747024658,7120,6718
1747024661,162698,62760
1747024664,203258,176088
1747024668,284135,9309
1747024671,304363,63382
1747024674,203274,175320
1747024678,277881,12180
1747024681,26022,60908
1747024684,204428,175814
1747024687,142412,10258
1747024691,167556,67136
1747024694,203532,174816
1747024697,139805,9871
1747024700,166366,68766
1747024704,45182,117436
1747024707,23740,60594
1747024710,30008,61684
1747024713,304841,77833
1747024717,179810,106709
1747024720,277489,7111
1747024723,7372451,7181373
1747024726,5028356,4976150
1747024730,5140769,4863539
1747024733,5186477,4985441
1747024736,9662861,2262754
1747024739,8930769,8844
1747024743,7402760,116848
1747024746,7652261,120977
1747024749,7483765,9989
1747024752,7652028,65092
1747024756,11489093,176410
1747024759,14626392,6278
1747024762,9302888,60682
1747024765,7693411,177892
1747024769,7612669,14189
1747024772,7344682,61856
1747024775,7534070,174752
1747024778,7327684,3830
1747024782,9215168,64954
1747024785,8052326,176442
1747024788,7419203,4075
1747024791,7625692,69586
1747024795,11926994,1477328
1747024798,5289312,5157480
1747024801,4915062,4948964
1747024804,5793128,5764424
1747024808,5685120,5547708
1747024811,6214546,2493142
1747024814,7388518,174530
1747024817,7550860,7912
1747024821,7704448,67353
1747024824,7322706,115658
1747024827,9567540,64068
1747024830,8435552,62780
1747024834,7622592,117484
1747024837,7305612,60348
1747024840,7534969,6061
1747024844,7599600,118869
1747024847,7673412,117989
1747024850,7372944,7102
1747024853,7497821,118737
1747024857,7494913,121512
1747024860,7904880,8238
1747024863,7527006,63643
1747024867,7640110,173664
1747024870,6973548,1134510
1747024873,5118552,4888814
1747024877,5055378,5022864
1747024880,4808212,4799598
1747024883,4830034,4867908
1747024886,6691929,2004817
1747024890,7399412,5554
1747024893,7420884,63918
1747024896,7969740,584786
1747024899,7744622,581357
1747024903,1531410,243272
1747024906,72758,174442
1747024909,8120,6216
1747024912,162418,61664
1747024916,203467,174643
1747024919,143831,7606
1747024922,161698,63024
1747024925,182048,118346
1747024929,300058,64510
1747024932,165382,63822
1747024935,183536,121449
1747024938,161104,61656
1747024942,163968,61674
1747024945,183233,119438
1747024948,167974,62854
1747024951,297564,63448
1747024955,183567,119627
1747024958,298218,64332
1747024961,169223,64914
1747024964,319112,120019
1747024968,26520,60844
1747024971,24552,62160
1747024974,166072,69900
1747024977,181659,116131
1747024981,143458,6862
1747024984,186414,121026
1747024987,181935,118347
1747024990,141204,7112
1747024994,29210,60858
1747024997,67054,173894
1747025000,2892,6026
1747025004,25278,61420
1747025007,342750,178788
1747025010,140893,6449
1747025013,22730,59026
1747025017,65426,172948
1747025020,1498,2548
1747025023,22120,58172
1747025026,64862,171450
