timestamp,total_cpu_percent
1747024114,0.8
1747024117,1.3
1747024121,0.6
1747024124,1
1747024127,1.8
1747024131,0.8
1747024134,0.6
1747024137,1.8
1747024140,1.3
1747024144,0.8
1747024147,25.1
1747024150,5.3
1747024153,8.8
1747024157,4.6
1747024160,4.1
1747024163,3.8
1747024166,4.7
1747024170,6.7
1747024173,5.8
1747024176,5.3
1747024179,3.7
1747024183,6.5
1747024186,6.5
1747024189,6.9
1747024192,9.6
1747024196,8.5
1747024199,9.1
1747024202,5.4
1747024205,6.9
1747024209,6.6
1747024212,5
1747024215,5.2
1747024218,6
1747024222,3.5
1747024225,4.3
1747024228,16.4
1747024231,2.6
1747024235,3
1747024238,4.8
1747024241,5.5
1747024244,3.3
1747024248,4.4
1747024251,4
1747024254,3.8
1747024257,3.6
1747024261,6.5
1747024264,5.7
1747024267,3.3
1747024270,6.8
1747024274,3.3
1747024277,7.6
1747024280,8.5
1747024284,3.6
1747024287,5.2
1747024290,4.6
1747024293,4.6
1747024297,3.7
1747024300,5
1747024303,3.3
1747024306,4.3
1747024310,6.1
1747024313,6.4
1747024316,7.7
1747024319,6.9
1747024323,6.4
1747024326,3.7
1747024329,1.6
1747024332,0.5
1747024336,0.8
1747024339,1.1
1747024342,0.8
1747024345,1
1747024349,1.4
1747024352,0.9
1747024355,1.1
1747024358,1.3
1747024362,0.6
1747024365,1
1747024368,0.8
1747024371,0.8
1747024375,0.8
1747024378,1.1
1747024381,1.1
1747024384,0.6
1747024388,1.3
1747024391,1.9
1747024394,0.8
1747024397,1.1
1747024401,1.6
1747024404,0.6
1747024407,1.1
1747024410,1.6
1747024414,0.6
1747024417,0.8
1747024420,1.4
1747024423,0.5
1747024427,1.1
1747024430,1.6
1747024433,1
1747024437,4.4
1747024440,7.3
1747024443,3.2
1747024446,3.8
1747024449,4
1747024453,4.2
1747024456,3.8
1747024459,4.2
1747024462,4.2
1747024466,4.4
1747024469,4.6
1747024472,4.6
1747024475,5.4
1747024479,5.4
1747024482,6
1747024485,4.6
1747024488,3.3
1747024492,4.8
1747024495,3.3
1747024498,5
1747024501,5
1747024505,5.6
1747024508,3.3
1747024511,3.8
1747024514,3.2
1747024518,4.6
1747024521,6
1747024524,7.3
1747024527,6.4
1747024531,7.7
1747024534,3.5
1747024537,5
1747024540,7.5
1747024544,7.3
1747024547,7.5
1747024550,7.3
1747024553,4.7
1747024557,4.7
1747024560,4.2
1747024563,4
1747024567,5.3
1747024570,4.4
1747024573,7.7
1747024576,3.1
1747024580,3.8
1747024583,4.2
1747024586,4.6
1747024589,3.4
1747024593,2.8
1747024596,5.9
1747024599,4.3
1747024602,3.5
1747024606,6.1
1747024609,5.1
1747024612,5.5
1747024616,1.1
1747024619,1.3
1747024622,1.3
1747024625,0.6
1747024629,1.1
1747024632,1.4
1747024635,0.8
1747024638,1.4
1747024642,1.7
1747024645,0.6
1747024648,1
1747024651,1.4
1747024655,0.6
1747024658,1.1
1747024661,1.4
1747024664,0.6
1747024668,1
1747024671,1.1
1747024674,1.1
1747024678,1.1
1747024681,1.4
1747024684,0.6
1747024687,1.3
1747024691,1.1
1747024694,0.6
1747024697,1
1747024700,0.8
1747024704,1.1
1747024707,0.8
1747024710,1.1
1747024713,0.6
1747024717,0.5
1747024720,11.4
1747024723,4.4
1747024726,3.7
1747024730,5.3
1747024733,7.2
1747024736,3.4
1747024739,3.7
1747024743,3.7
1747024746,4.8
1747024749,4.8
1747024752,6.2
1747024756,6.1
1747024759,4.6
1747024762,5.2
1747024765,4.8
1747024769,3.7
1747024772,5
1747024775,3.5
1747024778,3.9
1747024782,5
1747024785,3.7
1747024788,4.1
1747024791,9.1
1747024795,3.7
1747024798,4.2
1747024801,5.8
1747024804,3.1
1747024808,4.8
1747024811,4
1747024814,3.9
1747024817,4.5
1747024821,3.9
1747024824,5.3
1747024827,6.2
1747024830,6.7
1747024834,6
1747024837,6
1747024840,7.1
1747024844,4.5
1747024847,3.3
1747024850,3.3
1747024853,2.7
1747024857,5.7
1747024860,5
1747024863,5.5
1747024867,3.8
1747024870,3.2
1747024873,4.9
1747024877,4.1
1747024880,3.4
1747024883,4.1
1747024886,3.7
1747024890,5.4
1747024893,4.7
1747024896,3.2
1747024899,1.5
1747024903,1.4
1747024906,0.5
1747024909,1.1
1747024912,1
1747024916,0.5
1747024919,1.1
1747024922,1.3
1747024925,0.6
1747024929,1.1
1747024932,1.4
1747024935,0.8
1747024938,0.6
1747024942,1.3
1747024945,1.1
1747024948,1
1747024951,1.3
1747024955,1
1747024958,0.8
1747024961,1.3
1747024964,1
1747024968,1
1747024971,1.1
1747024974,0.6
1747024977,1
1747024981,1.1
1747024984,1.1
1747024987,0.8
1747024990,0.6
1747024994,1.4
1747024997,0.8
1747025000,1
1747025004,1.6
1747025007,0.6
1747025010,0.8
1747025013,1.8
1747025017,1.6
1747025020,0.6
1747025023,1.6
